Provinsi,Year,Reading Frequency per week,Number of Readings per Quarter,Daily Reading Duration (in minutes),Internet Access Frequency per Week,Daily Internet Duration (in minutes),Tingkat Kegemaran Membaca (Reading Interest),Category
Aceh,2020,4.0,2.0,95.0,5.5,113.7,54.68,Moderate
Aceh,2022,5.0,5.5,94.3,5.5,123.4,65.85,High
Aceh,2023,5.0,5.5,95.0,5.5,104.0,66.64,Moderate
Bali,2020,4.0,2.5,91.0,5.5,113.7,56.98,Moderate
Bali,2021,5.5,4.5,82.0,5.5,100.2,59.8,Moderate
Bali,2022,5.0,5.5,98.0,5.5,116.9,65.59,High
Bali,2023,5.0,5.5,100.0,5.5,117.0,67.39,Moderate
Bangka Belitung Islands,2021,4.5,4.5,101.6,5.5,104.3,61.81,High
Bangka Belitung Islands,2023,5.0,6.0,93.0,5.5,109.0,66.17,Moderate
Bangka Belitung Islands,2020,4.5,2.0,98.0,5.5,113.7,57.03,Moderate
Banten,2020,4.5,2.5,98.0,5.5,113.7,58.77,Moderate
Banten,2021,5.0,4.5,100.2,5.5,110.0,61.78,High
Banten,2022,5.0,5.5,97.4,5.5,111.2,65.7,High
Bengkulu,2020,4.0,2.5,111.0,5.5,113.7,58.0,Moderate
Bengkulu,2021,4.5,4.5,98.2,5.5,123.0,62.14,High
Bengkulu,2022,5.0,5.5,92.6,5.5,116.8,64.16,High
Central Java,2020,4.5,2.5,108.0,5.5,113.7,61.88,High
Central Java,2021,5.5,4.5,124.2,5.5,126.9,68.3,High
Central Kalimantan,2020,4.0,2.5,89.0,5.5,113.7,56.04,Moderate
Central Kalimantan,2023,5.0,5.5,91.0,5.5,110.0,65.95,Moderate
Central Sulawesi,2023,4.5,5.5,89.0,5.5,105.0,61.28,Moderate
East Java,2020,5.0,2.5,116.0,5.5,113.7,63.96,High
East Java,2021,5.5,4.5,102.0,5.5,112.6,64.2,High
East Kalimantan,2020,5.0,2.5,106.0,5.5,113.7,62.08,High
East Kalimantan,2021,5.5,4.5,91.8,5.5,112.9,64.85,High
East Nusa Tenggara,2021,5.0,4.5,95.8,5.5,114.3,63.0,High
East Nusa Tenggara,2022,5.0,5.5,90.0,5.5,126.4,64.84,High
East Nusa Tenggara,2023,5.5,5.0,111.0,5.5,120.0,67.81,Moderate
Indonesia,2020,4.0,2.0,96.0,5.5,113.7,55.74,Moderate
Indonesia,2022,5.0,5.0,98.0,5.5,117.0,63.9,High
Indonesia,2023,5.0,5.5,107.0,5.5,117.0,66.77,Moderate
Jakarta,2020,4.5,2.5,118.0,5.5,113.7,60.84,High
Jakarta,2021,4.5,4.5,101.6,5.5,107.7,62.25,High
Jakarta,2022,5.5,5.5,112.4,5.5,114.2,68.71,High
Jakarta,2023,5.5,5.0,126.0,5.5,124.0,69.94,Moderate
